GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0009579	CC	thylakoid	AT1G08380|AT1G20340|AT1G23740|AT1G29920|AT1G29930|AT1G55670|AT1G61520|AT1G67090|AT1G77090|AT2G05100|AT2G34420|AT2G39730|AT3G47470|AT3G54890|AT3G55800|AT3G61470|AT4G02770|AT4G03280|AT4G04640|AT4G05180|AT4G10340|AT4G12800|AT4G38970|AT5G26000|AT5G44650|AT5G53490|AT5G54770|AT5G66570|ATCG00020	2.42731988583414e-11	2.03894870410067e-09
GO:0010287	CC	plastoglobule	AT1G29920|AT1G29930|AT1G61520|AT2G05100|AT2G34420|AT2G39730|AT3G47470|AT3G54890|AT4G02770|AT4G10340|AT4G12800|AT4G38970|AT5G66570|ATCG00020	1.19235209961676e-09	5.0078788183904e-08
GO:0009534	CC	chloroplast thylakoid	AT1G20340|AT1G29930|AT1G55670|AT1G61520|AT1G64680|AT1G67740|AT1G77090|AT2G05620|AT2G34420|AT3G47470|AT3G54890|AT3G61470|AT4G02770|AT4G03280|AT4G04640|AT4G05180|AT4G10340|AT4G12800|AT4G27700|AT5G46110|AT5G53490|AT5G66570|ATCG00020	1.03399886005952e-08	2.89519680816664e-07
GO:0048046	CC	apoplast	AT1G09310|AT1G20620|AT1G23740|AT1G29920|AT1G67090|AT1G68010|AT2G02850|AT2G13360|AT2G39730|AT3G16370|AT3G16530|AT3G20270|AT3G26650|AT3G55800|AT4G05180|AT4G12470|AT4G13195|AT4G38970|AT5G04140|AT5G04200|AT5G26000|AT5G49360|AT5G66570	2.82645895661151e-08	5.93556380888417e-07
GO:0009535	CC	chloroplast thylakoid membrane	AT1G29920|AT1G29930|AT1G55670|AT1G60000|AT1G61520|AT1G67090|AT1G67740|AT2G05100|AT2G05620|AT2G25625|AT2G30570|AT2G34420|AT2G39730|AT3G26650|AT3G47470|AT3G54890|AT3G61470|AT4G00895|AT4G02770|AT4G03280|AT4G04640|AT4G05180|AT4G10340|AT4G12800|AT4G27700|AT5G44650|AT5G53490|AT5G66570|ATCG00020	4.75573222325759e-08	7.98963013507275e-07
GO:0009941	CC	chloroplast envelope	AT1G20620|AT1G23740|AT1G29920|AT1G29930|AT1G52570|AT1G55670|AT1G64680|AT1G67090|AT1G75350|AT2G05100|AT2G34420|AT2G39730|AT3G26650|AT3G47470|AT3G54890|AT3G55800|AT4G02770|AT4G03280|AT4G04640|AT4G12800|AT4G19390|AT4G27700|AT4G38970|AT5G04140|AT5G46110|AT5G54770	0.000139663641849148	0.00195529098588807
GO:0009570	CC	chloroplast stroma	AT1G20340|AT1G20620|AT1G23740|AT1G35420|AT1G67090|AT1G75350|AT1G77090|AT2G13360|AT2G20270|AT2G39730|AT3G26650|AT3G55800|AT3G59870|AT4G05180|AT4G15530|AT4G32810|AT4G38970|AT5G04140|AT5G16240|AT5G19855|AT5G28500|AT5G36700|AT5G53490|AT5G54770|AT5G66570	0.000469897901369468	0.00563877481643361
GO:0005634	CC	nucleus	AT1G02340|AT1G03790|AT1G07430|AT1G09310|AT1G15385|AT1G17950|AT1G17990|AT1G18020|AT1G18710|AT1G18835|AT1G19530|AT1G20340|AT1G20620|AT1G22160|AT1G22370|AT1G22430|AT1G22985|AT1G23740|AT1G25440|AT1G29920|AT1G29930|AT1G34670|AT1G35460|AT1G49720|AT1G52342|AT1G52570|AT1G52890|AT1G55580|AT1G55670|AT1G55750|AT1G56600|AT1G60830|AT1G61520|AT1G62600|AT1G64000|AT1G64680|AT1G65070|AT1G69260|AT1G69490|AT1G69610|AT1G70880|AT1G73880|AT1G75520|AT1G77145|AT1G78960|AT1G78970|AT1G78990|AT1G79520|AT1G80970|AT2G01440|AT2G04038|AT2G18050|AT2G20180|AT2G21780|AT2G23030|AT2G23170|AT2G24140|AT2G24430|AT2G29380|AT2G33830|AT2G38340|AT2G39730|AT2G42280|AT2G42560|AT2G42690|AT2G43000|AT2G43010|AT2G46680|AT2G46830|AT3G01970|AT3G02940|AT3G06390|AT3G09480|AT3G09950|AT3G12320|AT3G15500|AT3G16520|AT3G16530|AT3G16770|AT3G18400|AT3G20270|AT3G23325|AT3G24310|AT3G26510|AT3G27250|AT3G45780|AT3G46130|AT3G48020|AT3G48510|AT3G49580|AT3G53200|AT3G53530|AT3G53730|AT3G54490|AT3G59060|AT3G60640|AT3G61160|AT3G61890|AT3G62100|AT3G62990|AT4G01026|AT4G02830|AT4G08150|AT4G12350|AT4G13260|AT4G14440|AT4G15530|AT4G16890|AT4G18550|AT4G21440|AT4G21750|AT4G22745|AT4G27460|AT4G28110|AT4G28530|AT4G28703|AT4G29230|AT4G31115|AT4G33467|AT4G35190|AT4G37390|AT4G39720|AT5G01520|AT5G04200|AT5G04440|AT5G07680|AT5G11060|AT5G12420|AT5G13370|AT5G15210|AT5G15410|AT5G15830|AT5G15970|AT5G16970|AT5G20810|AT5G24080|AT5G24660|AT5G28300|AT5G37500|AT5G37590|AT5G39520|AT5G39610|AT5G40790|AT5G40800|AT5G43840|AT5G50360|AT5G54510|AT5G56620|AT5G59220|AT5G59780|AT5G63350|AT5G64530	0.00080585136952671	0.00846143938003045
GO:0005947	CC	mitochondrial alpha-ketoglutarate dehydrogenase complex	AT1G21400|AT1G55510|AT3G13450	0.000994604683241571	0.00928297704358799
GO:0009507	CC	chloroplast	AT1G07430|AT1G07720|AT1G08250|AT1G08380|AT1G10070|AT1G13700|AT1G20340|AT1G20620|AT1G21400|AT1G22370|AT1G23740|AT1G28140|AT1G29920|AT1G29930|AT1G31170|AT1G35420|AT1G49430|AT1G52560|AT1G55670|AT1G58807|AT1G59124|AT1G60000|AT1G61520|AT1G65800|AT1G67090|AT1G67740|AT1G68010|AT1G69870|AT1G70890|AT1G73750|AT1G75350|AT1G77090|AT1G79330|AT2G01440|AT2G05100|AT2G05310|AT2G05620|AT2G13360|AT2G16890|AT2G18360|AT2G19900|AT2G20270|AT2G23540|AT2G24270|AT2G26690|AT2G30570|AT2G34420|AT2G35070|AT2G36770|AT2G36800|AT2G39730|AT2G41170|AT2G44230|AT2G46220|AT3G08860|AT3G16220|AT3G16370|AT3G21520|AT3G21780|AT3G25820|AT3G25830|AT3G25950|AT3G26180|AT3G26220|AT3G26650|AT3G26740|AT3G44540|AT3G47470|AT3G50740|AT3G51895|AT3G54890|AT3G55800|AT3G59400|AT3G59870|AT3G61470|AT4G00895|AT4G02280|AT4G02770|AT4G03280|AT4G04640|AT4G05180|AT4G10340|AT4G10500|AT4G11910|AT4G12800|AT4G13250|AT4G13280|AT4G15530|AT4G19230|AT4G21210|AT4G22745|AT4G25700|AT4G27390|AT4G27700|AT4G32810|AT4G38730|AT4G38970|AT5G04140|AT5G04220|AT5G04440|AT5G15190|AT5G15970|AT5G16240|AT5G19140|AT5G19600|AT5G23190|AT5G25120|AT5G26000|AT5G28500|AT5G36700|AT5G39090|AT5G39520|AT5G40380|AT5G40640|AT5G43260|AT5G44650|AT5G46110|AT5G47860|AT5G49350|AT5G53490|AT5G54300|AT5G54770|AT5G55180|AT5G59220|AT5G59750|AT5G66570|ATCG00020	0.00157322098062261	0.0130216254158011
